Replace Part C3 100nf_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100nf_0402 from Capacitors.IntLib
Replace Part C4 1uf_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 1uf_0402 from Capacitors.IntLib
Replace Part C5 1uf_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 1uf_0402 from Capacitors.IntLib
Replace Part C6 1uf_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 1uf_0402 from Capacitors.IntLib
Replace Part J 3-1734592-7 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 3-1734592-7 from 3-1734592-7.IntLib
Replace Part R2 10K_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 10K_0402 from Resistors.IntLib
Replace Part R3 10K_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 10K_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part R? 100OHM_0402 in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with 100OHM_0402 from Resistors.IntLib
Replace Part U1 XC7A12T_1CSG325I in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with XC7A12T_1CSG325I from XC7A12T_1CPG238I.IntLib
Replace Part U2 MT25QL256ABA8ESF-0SIT in E:\HardwareProjects\SpartanDemo\SpartanMainBoard\ArtixBank14.SchDoc with MT25QL256ABA8ESF-0SIT from MT25QL256ABA.IntLib
