Added Component: Designator=U4(LTM4643 15X9X2.42 05-08-1908)
Added Pin To Net: NetName=NetC13_2 Pin=U4-A1
Added Pin To Net: NetName=NetC13_2 Pin=U4-A2
Added Pin To Net: NetName=NetC13_2 Pin=U4-A3
Added Pin To Net: NetName=GND Pin=U4-A4
Added Pin To Net: NetName=GND Pin=U4-A5
Added Pin To Net: NetName=NetC14_2 Pin=U4-A6
Added Pin To Net: NetName=NetR29_2 Pin=U4-A7
Added Pin To Net: NetName=GND Pin=U4-B1
Added Pin To Net: NetName=GND Pin=U4-B2
Added Pin To Net: NetName=+5 Pin=U4-B3
Added Pin To Net: NetName=+5 Pin=U4-B4
Added Pin To Net: NetName=+5 Pin=U4-B5
Added Pin To Net: NetName=GND Pin=U4-B6
Added Pin To Net: NetName=NetC16_2 Pin=U4-C1
Added Pin To Net: NetName=1V0Good Pin=U4-C2
Added Pin To Net: NetName=1V0Good Pin=U4-C3
Added Pin To Net: NetName=GND Pin=U4-C5
Added Pin To Net: NetName=1V0Good Pin=U4-C6
Added Pin To Net: NetName=NetC16_2 Pin=U4-D1
Added Pin To Net: NetName=NetC16_2 Pin=U4-D2
Added Pin To Net: NetName=GND Pin=U4-D3
Added Pin To Net: NetName=GND Pin=U4-D4
Added Pin To Net: NetName=GND Pin=U4-D5
Added Pin To Net: NetName=NetC17_2 Pin=U4-D6
Added Pin To Net: NetName=NetR30_2 Pin=U4-D7
Added Pin To Net: NetName=GND Pin=U4-E1
Added Pin To Net: NetName=GND Pin=U4-E2
Added Pin To Net: NetName=+5 Pin=U4-E3
Added Pin To Net: NetName=+5 Pin=U4-E4
Added Pin To Net: NetName=+5 Pin=U4-E5
Added Pin To Net: NetName=GND Pin=U4-E6
Added Pin To Net: NetName=NetC19_2 Pin=U4-F1
Added Pin To Net: NetName=3V3Good Pin=U4-F2
Added Pin To Net: NetName=GND Pin=U4-F5
Added Pin To Net: NetName=+5 Pin=U4-F6
Added Pin To Net: NetName=GND Pin=U4-F7
Added Pin To Net: NetName=NetC19_2 Pin=U4-G1
Added Pin To Net: NetName=NetC19_2 Pin=U4-G2
Added Pin To Net: NetName=GND Pin=U4-G3
Added Pin To Net: NetName=GND Pin=U4-G4
Added Pin To Net: NetName=GND Pin=U4-G5
Added Pin To Net: NetName=NetC20_2 Pin=U4-G6
Added Pin To Net: NetName=NetR31_2 Pin=U4-G7
Added Pin To Net: NetName=GND Pin=U4-H1
Added Pin To Net: NetName=GND Pin=U4-H2
Added Pin To Net: NetName=+5 Pin=U4-H3
Added Pin To Net: NetName=+5 Pin=U4-H4
Added Pin To Net: NetName=+5 Pin=U4-H5
Added Pin To Net: NetName=GND Pin=U4-H6
Added Pin To Net: NetName=NetC22_2 Pin=U4-J1
Added Pin To Net: NetName=3V1Good Pin=U4-J2
Added Pin To Net: NetName=GND Pin=U4-J5
Added Pin To Net: NetName=1V0Good Pin=U4-J6
Added Pin To Net: NetName=NetR32_2 Pin=U4-J7
Added Pin To Net: NetName=NetC22_2 Pin=U4-K1
Added Pin To Net: NetName=NetC22_2 Pin=U4-K2
Added Pin To Net: NetName=GND Pin=U4-K3
Added Pin To Net: NetName=GND Pin=U4-K4
Added Pin To Net: NetName=NetC23_2 Pin=U4-K6
Added Pin To Net: NetName=1V0Good Pin=U4-K7
Added Pin To Net: NetName=GND Pin=U4-L1
Added Pin To Net: NetName=GND Pin=U4-L2
Added Pin To Net: NetName=+5 Pin=U4-L3
Added Pin To Net: NetName=+5 Pin=U4-L4
Added Pin To Net: NetName=+5 Pin=U4-L5
Added Pin To Net: NetName=GND Pin=U4-L6
Change Net Color : Old Net Color=RGB(0, 156, 202) New Net Color=RGB(0, 156, 202)
Added Member To Class: ClassName=Power Member=Component U4 LTM4643
